company,category,job_title,job_description,skills
Accenture,IT,Backend Engineer,Build scalable backend services,python sql docker
Infosys,NON-IT,Mechanical Engineer,Design mechanical systems,autocad solidworks manufacturing
Axis Bank,NON-IT,Web Developer,Develop responsive web applications,html css javascript react
CBSE School,NON-IT,Civil Engineer,Manage construction projects,autocad construction surveying
Fortis Healthcare,NON-IT,Software Developer,Develop and maintain software applications,python java sql git
L&T,NON-IT,Data Analyst,Analyze data and generate insights,python pandas sql excel
Apollo Hospitals,NON-IT,Backend Engineer,Build scalable backend services,python sql docker
PayPal,NON-IT,Operations Manager,Manage operations and teams,management leadership planning
Wipro,NON-IT,Accountant,Maintain financial records,accounting tally gst excel
Flipkart,NON-IT,Logistics Executive,Manage logistics operations,logistics coordination inventory
Amazon,IT,Data Analyst,Analyze data and generate insights,python pandas sql excel
Delhivery,NON-IT,Operations Manager,Manage operations and teams,management leadership planning
PhonePe,NON-IT,HR Executive,Handle recruitment and HR operations,communication recruitment hrms
L&T,NON-IT,Accountant,Maintain financial records,accounting tally gst excel
HP,NON-IT,Business Analyst,Analyze business processes,analysis excel documentation
HDFC Bank,NON-IT,Accountant,Maintain financial records,accounting tally gst excel
AIIMS,NON-IT,Logistics Executive,Manage logistics operations,logistics coordination inventory
HCL,IT,ML Engineer,Build and deploy machine learning models,python machine-learning tensorflow
Freshworks,IT,Software Developer,Develop and maintain software applications,python java sql git
Stripe,IT,ML Engineer,Build and deploy machine learning models,python machine-learning tensorflow
IBM,NON-IT,Teacher,Teach and mentor students,teaching communication
Tech Mahindra,NON-IT,Civil Engineer,Manage construction projects,autocad construction surveying
Zomato,NON-IT,Accountant,Maintain financial records,accounting tally gst excel
Capgemini,NON-IT,Operations Manager,Manage operations and teams,management leadership planning
TVS Motors,NON-IT,Civil Engineer,Manage construction projects,autocad construction surveying
Razorpay,NON-IT,Accountant,Maintain financial records,accounting tally gst excel
Wipro,IT,Data Analyst,Analyze data and generate insights,python pandas sql excel
SAP,IT,Data Analyst,Analyze data and generate insights,python pandas sql excel
SBI,NON-IT,Business Analyst,Analyze business processes,analysis excel documentation
SBI,NON-IT,HR Executive,Handle recruitment and HR operations,communication recruitment hrms
Byjus,IT,Data Analyst,Analyze data and generate insights,python pandas sql excel
IIT Madras,NON-IT,Operations Manager,Manage operations and teams,management leadership planning
Accenture,NON-IT,Accountant,Maintain financial records,accounting tally gst excel
Zoho,NON-IT,Staff Nurse,Provide patient care,nursing patient-care healthcare
Tech Mahindra,NON-IT,Business Analyst,Analyze business processes,analysis excel documentation
PhonePe,NON-IT,Civil Engineer,Manage construction projects,autocad construction surveying
Paytm,NON-IT,Teacher,Teach and mentor students,teaching communication
Fortis Healthcare,NON-IT,Logistics Executive,Manage logistics operations,logistics coordination inventory
Airbnb,NON-IT,Business Analyst,Analyze business processes,analysis excel documentation
DHL,NON-IT,Backend Engineer,Build scalable backend services,python sql docker
SAP,NON-IT,Staff Nurse,Provide patient care,nursing patient-care healthcare
PayPal,IT,Software Developer,Develop and maintain software applications,python java sql git
Byjus,NON-IT,Civil Engineer,Manage construction projects,autocad construction surveying
Tech Mahindra,NON-IT,Mechanical Engineer,Design mechanical systems,autocad solidworks manufacturing
Fortis Healthcare,NON-IT,Software Developer,Develop and maintain software applications,python java sql git
Freshworks,IT,Software Developer,Develop and maintain software applications,python java sql git
Reliance Retail,NON-IT,ML Engineer,Build and deploy machine learning models,python machine-learning tensorflow
Google,IT,ML Engineer,Build and deploy machine learning models,python machine-learning tensorflow
